trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
158,False,"{'a': 0.995, 'e': 0.45522245551230506}",20,7,-0.6514755051358672,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
159,False,"{'a': 0.995, 'e': 0.45294634323474353}",25,0,-26.06700677257671,"{0: 21, 1: 1, 2: 1, 3: 2, 4: 0}",0
160,False,"{'a': 0.995, 'e': 0.45068161151856984}",30,0,-54.20989039044393,"{0: 24, 1: 3, 2: 1, 3: 1, 4: 1}",1
161,False,"{'a': 0.995, 'e': 0.44842820346097695}",25,19,2.694521612161134,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.995, 'e': 0.4461860624436721}",20,0,-45.82297956644051,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
163,False,"{'a': 0.995, 'e': 0.4439551321314537}",25,0,-74.481501239342,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
164,False,"{'a': 0.995, 'e': 0.4417353564707964}",20,13,-43.647134677581285,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
165,False,"{'a': 0.995, 'e': 0.43952667968844245}",20,0,-62.645953863451666,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
166,False,"{'a': 0.995, 'e': 0.43732904629000025}",20,1,-24.17847026304057,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 0}",1
167,False,"{'a': 0.995, 'e': 0.43514240105855023}",30,9,-12.712207019539704,"{0: 17, 1: 0, 2: 4, 3: 0, 4: 0}",1
168,False,"{'a': 0.995, 'e': 0.4329666890532575}",20,12,-4.8133691929023374,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
169,False,"{'a': 0.995, 'e': 0.4308018556079912}",25,0,-86.27901166481661,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
170,False,"{'a': 0.995, 'e': 0.42864784632995123}",20,0,-25.040965752748594,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
171,False,"{'a': 0.995, 'e': 0.4265046070983015}",30,22,16.86433143923235,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.995, 'e': 0.42437208406280996}",25,14,-49.05967559580249,"{0: 7, 1: 0, 2: 2, 3: 2, 4: 0}",1
173,False,"{'a': 0.995, 'e': 0.4222502236424959}",25,0,-26.632914051359947,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
174,False,"{'a': 0.995, 'e': 0.42013897252428345}",25,1,-16.274766111123718,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 1}",1
175,False,"{'a': 0.995, 'e': 0.418038277661662}",20,0,15.16291787227673,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
176,False,"{'a': 0.995, 'e': 0.4159480862733537}",25,9,-39.85786475046395,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 0}",1
177,False,"{'a': 0.995, 'e': 0.41386834584198695}",25,0,-0.0747354229546231,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
178,False,"{'a': 0.995, 'e': 0.41179900411277703}",30,0,-16.964123334982975,"{0: 25, 1: 2, 2: 2, 3: 1, 4: 0}",1
179,False,"{'a': 0.995, 'e': 0.40974000909221314}",20,0,-73.81218758468819,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
